brand,date,diff,image,length,link,nwt,price,size,sold,status,stock,title
hugo_boss,2020-04-20,11,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/20/5e9e4ba3e107bb9c80646ab2/s_5ea8b3f34fd23ac621aa8963.jpg,21,http://www.poshmark.com/listing/Hugo-Boss-Jeans-NEW-5e9e4ba3e107bb9c80646ab2,False,40,34.0,False,,,Hugo Boss Jeans (NEW)
hugo_boss,2020-04-20,11,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/20/5e9e2bbfce1e876ca1b0fef3/s_5e9e2bebefd0e40414a9bd14.jpg,34,http://www.poshmark.com/listing/Hugo-Boss-Mane-Mens-Jeans-size-38-5e9e2bbfce1e876ca1b0fef3,False,40,38.0,True,,Sold,Hugo Boss Mane Men’s Jeans size 38
hugo_boss,2020-04-20,11,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/20/5e9e0c64ff8304ddc8a101b7/s_5e9e0c789e15596be76c08e0.jpg,21,http://www.poshmark.com/listing/Mens-Hugo-boss-jeans-5e9e0c64ff8304ddc8a101b7,False,75,33.0,False,,,Men’s Hugo boss jeans
hugo_boss,2020-04-20,11,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/20/5e9e01335cd1fb35b7930130/s_5e9e01359e155958df6ba373.jpeg,47,http://www.poshmark.com/listing/Hugo-Boss-Alabama-Comfort-Fit-32-X-34-Dark-Wash-5e9e01335cd1fb35b7930130,False,35,32.0,False,,,Hugo Boss Alabama Comfort Fit 32 X 34 Dark Wash
hugo_boss,2020-04-20,11,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/20/5e9deb6bce1e87c6903b7f07/s_5e9deb7c93649f537a7bf3d5.jpg,25,http://www.poshmark.com/listing/Hugo-Boss-dark-blue-jeans-5e9deb6bce1e87c6903b7f07,False,20,34.0,False,,,Hugo Boss dark blue jeans
hugo_boss,2020-04-19,12,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/19/5e9cd276cb692c97a2db00f1/s_5e9cd2a360fded6a433d520b.jpg,21,http://www.poshmark.com/listing/Mens-Hugo-boss-jeans-5e9cd276cb692c97a2db00f1,False,65,34.0,False,,,Men’s Hugo boss jeans
hugo_boss,2020-04-19,12,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/19/5e9cd1558da5c98c2489d6b1/s_5e9cd15f045e39e96de727aa.jpg,21,http://www.poshmark.com/listing/Mens-Hugo-boss-jeans-5e9cd1558da5c98c2489d6b1,False,65,33.0,False,,,Men’s Hugo boss jeans
hugo_boss,2020-04-19,12,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/19/5e9cc64f4fd23a7b957fcb93/s_5e9cc66fffba94abd3af022e.jpg,5,http://www.poshmark.com/listing/Jeans-5e9cc64f4fd23a7b957fcb93,False,60,34.0,False,,,Jeans
hugo_boss,2020-04-19,12,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/19/5e9c9c0d12d8803295ee77b1/s_5e9c9c26e1316488141b1a48.jpg,33,http://www.poshmark.com/listing/Hugo-Boss-Select-Line-Black-Jeans-5e9c9c0d12d8803295ee77b1,False,20,31.0,False,,,Hugo Boss Select Line Black Jeans
hugo_boss,2020-04-18,13,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/18/5e9bda2f920786a3257a9bcc/s_5e9bda4cbcbb527f85a538af.jpg,37,http://www.poshmark.com/listing/Hugo-Boss-Mens-Jeans-Stretch-32x34-5e9bda2f920786a3257a9bcc,False,45,32.0,False,,,Hugo Boss Men’s Jeans Stretch - 32x34
hugo_boss,2020-04-18,13,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/18/5e9b97fe9e15592a385ca75d/s_5e9b98192ca9ab90db31f700.jpg,16,http://www.poshmark.com/listing/BOSS-mens-jeans-5e9b97fe9e15592a385ca75d,False,50,,False,,,BOSS men’s jeans
hugo_boss,2020-04-18,13,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/18/5e9b70e38da5c94212807e52/s_5e9b70f59c337871fa0be7be.jpg,41,http://www.poshmark.com/listing/HUGO-BOSS-Black-Skinny-Jeans-Size-33x34-5e9b70e38da5c94212807e52,False,60,33.0,False,,,HUGO BOSS | Black Skinny Jeans Size 33x34
hugo_boss,2020-04-18,13,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/18/5e9b0f0ec2d1da10f5ea52cd/s_5e9b0f1291f739126072db5b.jpeg,50,http://www.poshmark.com/listing/Hugo-Boss-Straight-Pants-36x34-Leg-Flat-Front-Work-5e9b0f0ec2d1da10f5ea52cd,False,15,36.0,True,,Sold,Hugo Boss Straight Pants 36x34 Leg Flat Front Work
hugo_boss,2020-04-17,14,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/17/5e9a60a8ef34d3a1b1a60892/s_5e9a60acae766f5800ae70c4.jpeg,47,http://www.poshmark.com/listing/Maine3-Tan-Jeans-Size-34x30-Regular-Fit-Stretch-5e9a60a8ef34d3a1b1a60892,True,90,34.0,False,NWT,,Maine3 Tan Jeans Size 34x30 Regular Fit Stretch
hugo_boss,2020-04-17,14,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/17/5e9a4e05ef34d30be29c8e8e/s_5e9a4e0d4fd23aaf0601981b.jpeg,50,http://www.poshmark.com/listing/DELAWARE-3-SLIM-FIT-50405512-NAVY-BLUE-JEANS-36x32-5e9a4e05ef34d30be29c8e8e,True,110,36.0,False,NWT,,DELAWARE 3 SLIM FIT 50405512 NAVY BLUE JEANS 36x32
hugo_boss,2019-08-18,257,https://di2ponv0v5otw.cloudfront.net/posts/2019/08/18/5d59b993264a551f5aa6110d/s_5d59b99e08d2c26851d8e68e.jpg,26,http://www.poshmark.com/listing/Hugo-Boss-Black-Slim-Jeans-5e9a4e047d03b713cc489eac,False,30,32.0,True,,Sold,Hugo Boss Black Slim Jeans
hugo_boss,2020-04-17,14,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/17/5e9a11c1ffba9420fc552b0e/s_5e9a12f5d737fdd00d11a6b3.jpg,39,http://www.poshmark.com/listing/BOSS-Hugo-Boss-Kansas-Regular-Fit-Jeans-5e9a11c1ffba9420fc552b0e,False,28,34.0,False,,,BOSS Hugo Boss Kansas Regular Fit Jeans
hugo_boss,2020-04-17,14,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/17/5e99de37bcdb2f7272b53eb4/s_5e99de57bcbb52f4c26902ef.jpg,35,http://www.poshmark.com/listing/HUGO-BOSS-Mens-Stretch-Jeans-3735-5e99de37bcdb2f7272b53eb4,False,59,36.0,False,,,HUGO BOSS Men’s Stretch Jeans 37/35
hugo_boss,2020-04-17,14,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/17/5e99bf099e1559cc6817b2c9/s_5e99d70ce97e482ea27406a0.jpg,35,http://www.poshmark.com/listing/Hugo-Boss-Select-Line-Alabama-Jeans-5e99bf099e1559cc6817b2c9,False,33,40.0,False,,,Hugo Boss Select Line Alabama Jeans
hugo_boss,2020-04-16,15,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/16/5e99525dc936afa3762330dc/s_5e99526bd737fdd8f00de2b0.jpg,28,http://www.poshmark.com/listing/BOSS-Hugo-Boss-Stretch-Jeans-5e99525dc936afa3762330dc,False,36,38.0,False,,,BOSS Hugo Boss Stretch Jeans
hugo_boss,2020-04-16,15,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/16/5e991870314718dc41281f03/s_5e99187b9c3378622801503e.jpeg,48,http://www.poshmark.com/listing/Maine3-Blue-Jeans-Size-36x30-Regular-Fit-Stretch-5e991870314718dc41281f03,True,92,36.0,False,NWT,,Maine3 Blue Jeans Size 36x30 Regular Fit Stretch
hugo_boss,2020-04-15,16,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/15/5e9774937824da102be0e370/s_5e99a0ae045e398750d38fbf.jpg,46,http://www.poshmark.com/listing/BOSS-Hugo-Boss-Gray-Regular-Fit-jeans-3834-5e9774937824da102be0e370,True,125,38.0,False,NWT,,"{BOSS Hugo Boss} Gray Regular Fit jeans, 38/34"
hugo_boss,2020-04-16,15,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/16/5e98d8ca2f3d19d9d77e39db/s_5e98d8f8c693bddeef77898b.jpg,35,http://www.poshmark.com/listing/Hugo-Boss-Black-Alabama-Jeans-30x32-5e98d8ca2f3d19d9d77e39db,False,40,30.0,False,,,Hugo Boss Black Alabama Jeans 30x32
hugo_boss,2020-04-16,15,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/16/5e98be9d60fded56cfe7ac28/s_5e98becfcb692c21c0151529.jpg,15,http://www.poshmark.com/listing/Hugo-Boss-Jeans-5e98be9d60fded56cfe7ac28,False,30,32.0,False,,,Hugo Boss Jeans
hugo_boss,2020-04-16,15,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/16/5e989e9560fded8d0fe6867e/s_5e989e9dbb59371343f614eb.jpg,11,http://www.poshmark.com/listing/Mens-jeans-5e989e9560fded8d0fe6867e,False,25,35.0,False,,,Men’s jeans
hugo_boss,2019-09-16,228,https://di2ponv0v5otw.cloudfront.net/posts/2019/09/16/5d80288b29f0305738256c7b/s_5d8028aebbf076d958e5601b.jpg,21,http://www.poshmark.com/listing/Hugo-Boss-Black-Jeans-5e97c8d271766019f0eec7bf,True,45,38.0,True,NWT,Sold,Hugo Boss Black Jeans
hugo_boss,2020-04-15,16,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/15/5e972d314fd23a8a246c2e40/s_5e972d3706d59c20968bf488.jpg,44,http://www.poshmark.com/listing/Hugo-Boss-mens-30x32-slim-fit-blue-pants-EUC-5e972d314fd23a8a246c2e40,False,135,30.0,False,,,Hugo Boss mens 30x32 slim fit blue pants EUC
hugo_boss,2020-04-14,17,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/14/5e9692bd446e59cad75d533c/s_5e969322bb5937b7a0eb63d9.jpg,28,http://www.poshmark.com/listing/Hugo-Boss-Mens-stretch-jeans-5e9692bd446e59cad75d533c,True,69,30.0,False,NWT,,Hugo Boss Mens stretch jeans
hugo_boss,2020-04-14,17,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/14/5e963673463d4f0b138ad24c/s_5e963682a4de41d9366f32d5.jpg,20,http://www.poshmark.com/listing/Hugo-Boss-Blue-Jeans-5e963673463d4f0b138ad24c,False,45,33.0,False,,,Hugo Boss Blue Jeans
hugo_boss,2020-04-14,17,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/14/5e95bd5cef34d31a0eac744b/s_5e95bd5e93649fe09c48a3e1.jpeg,48,http://www.poshmark.com/listing/Hugo-Boss-3429-Dark-Blue-Button-Fly-Mens-Jeans-5e95bd5cef34d31a0eac744b,False,30,34.0,False,,,Hugo Boss 34/29 Dark Blue Button Fly Men's Jeans
hugo_boss,2020-04-14,17,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/14/5e9599b743895f87baf813d2/s_5e9599ce6e28466623e7fa0a.jpg,40,http://www.poshmark.com/listing/Hugo-Boss-black-straight-leg-denim-jeans-5e9599b743895f87baf813d2,False,40,34.0,False,,,Hugo Boss black straight leg denim jeans
hugo_boss,2020-04-13,18,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/13/5e9550c760fdedc778d44c08/s_5e9551ca9e155996d677e8b8.jpg,15,http://www.poshmark.com/listing/Designer-Denim-5e9550c760fdedc778d44c08,False,90,36.0,False,,,Designer Denim.
hugo_boss,2020-04-13,18,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/13/5e94e83f352d91a8b8423c1e/s_5e94e842efd0e415fa2b4692.jpeg,44,http://www.poshmark.com/listing/NEW-Hugo-Boss-Slim-Fit-32W-x-32L-Blue-Jeans-5e94e83f352d91a8b8423c1e,True,57,32.0,False,NWT,,NEW! Hugo Boss Slim Fit 32W x 32L Blue Jeans
hugo_boss,2020-04-13,18,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/13/5e94891760fdede965ce66cb/s_5e948971163df443e5d0e117.jpg,50,http://www.poshmark.com/listing/HUGO-BOSS-Maine-regular-fit-med-wash-jeans-36x30-5e94891760fdede965ce66cb,False,35,36.0,False,,,HUGO BOSS | Maine regular fit med wash jeans 36x30
